barcode;amount
48195867349;6
31685751833;10
78778135920;20
97401573093;26
44052912346;14
90510227427;18
58892193474;2
10591847069;36
89012159942;22
63819360901;20
86155092853;18
64718572908;18
91478316416;6
55624870755;20
31928707586;38
25751056281;6
12429871019;12
44634808465;30
92313908410;28
16782960800;20
87546923093;22
95981799201;28
42075749327;34
68378792986;12
66439973565;8
84564017552;22
99258643933;4
39651008714;20
57442350118;6
89446504640;2
12373221928;10
99037978779;6
60038075490;14
77878789764;12
59432225230;20
93421294987;12
93970728278;38
42514106774;36
44297229120;18
64170756061;20
21180266210;4
22266509503;28
80714109262;40
55150032702;26
57015295086;6
49904213833;16
21986469301;14
43713409339;20
44848942163;6
17675942863;16
79245647938;36
66522374708;4
49256462203;2
63985939736;36
86015722108;38
99035181014;14
29491189313;8
68604322995;6
48168922869;26
79205756095;12
62834287888;20
72174123016;4
94518200175;10
55054465503;14
26422308770;24
80787169148;4
26249925105;8
19806218304;6
63525234454;6
64572038382;20
70366784809;22
75568516076;16
86457669877;20
67474055529;16
60331200533;16
67347561409;42
86439881062;18
85986865665;8
93680433213;6
65690412488;24
14033308034;6
71193673814;12
22822092850;22
29092181368;18
79542935371;14
81034332302;18
52219822998;10
55700891340;6
88776201237;24
11595422999;16
91433001332;34
94750386764;6
89446589850;18
81279145481;28
19090376459;14
71131395632;20
70433278304;10
62967005013;20
59636030891;28
11056915800;6
57846399354;36
92069272405;14
45163075642;12
71320882808;4
31523689940;30
39569827068;20
55549049886;14
36487300281;34
66385382456;14
91420578236;6
68894332385;14
56822188537;18
93561569913;12
23587051543;2
54578295291;24
94604333572;16
47465179230;26
88164837998;12
75862695198;24
66545921160;48
78667719445;22
34366911555;12
44471149041;24
47591205780;40
42414069078;24
41624334675;36
12241698190;18
61858306408;18
41695336166;36
66364527925;8
85819386954;22
76525421950;20
34496362560;8
29301776884;6
25360778550;2
36314732158;26
54469694143;16
82187642713;20
95054068645;18
97827943964;30
25713464655;18
24071057671;4
35267564916;4
83999906281;12
23609657808;26
74216192742;8
68388963757;8
95007155832;18
30293507239;14
42881676401;34
14327109886;16
84046408607;18
